,order_id,customer_id,category,amount,month
0,1,157,Cloths,4697.0,January
1,2,12,Sports,1416.0,January
2,3,14,Cloths,5903.0,January
3,4,152,Home,5381.0,January
4,5,87,Sports,6633.0,January
5,6,157,Sports,6570.0,January
6,7,161,Cloths,6947.0,January
7,8,198,Elec,1399.0,January
8,9,140,Home,6981.0,January
9,10,164,Home,5389.0,January
10,11,98,Elec,2171.0,January
11,12,34,Elec,2380.0,January
12,13,6,Elec,2375.0,January
13,14,17,Sports,987.0,January
14,15,140,Cloths,4671.0,January
15,16,55,Home,3421.0,January
16,17,175,Cloths,6670.0,January
17,18,43,Elec,8060.0,January
18,19,190,Elec,3073.0,January
19,20,174,Elec,7404.0,January
20,21,55,Cloths,2644.0,January
21,22,192,Sports,6842.0,January
22,23,40,Sports,7650.0,January
23,24,23,Home,3205.0,January
24,25,72,Home,6774.0,January
25,26,40,Elec,1863.0,January
26,27,136,Home,2201.0,January
27,28,64,Elec,4240.0,January
28,29,21,Elec,1366.0,January
29,30,35,Elec,3010.0,January
30,31,172,Elec,9555.0,January
31,32,65,Home,2736.0,January
32,33,188,Cloths,5861.0,January
33,34,64,Cloths,847.0,January
34,35,66,Sports,6293.0,January
35,36,102,Home,9532.0,January
36,37,83,Home,8830.0,January
37,38,135,Elec,1925.0,January
38,39,154,Sports,444.0,January
39,40,144,Elec,1071.0,January
40,41,155,Cloths,4772.0,January
41,42,129,Elec,3663.0,January
42,43,91,Sports,5406.0,January
43,44,125,Cloths,,January
44,45,39,Sports,,January
45,46,31,Elec,2077.0,January
46,47,121,Home,3546.0,January
47,48,50,Cloths,,January
48,49,10,Home,2677.0,January
49,50,18,Elec,1150.0,January
50,51,106,Home,6695.0,January
51,52,75,Home,7648.0,January
52,53,119,Sports,,January
53,54,26,Elec,8515.0,January
54,55,11,Home,8331.0,January
55,56,142,Cloths,1389.0,January
56,57,194,Sports,5764.0,January
57,58,118,Elec,4622.0,January
58,59,175,Cloths,1267.0,January
59,60,188,Elec,5655.0,January
60,61,13,Home,1759.0,January
61,62,149,Sports,3016.0,January
62,63,171,Elec,6596.0,January
63,64,10,Elec,8290.0,January
