,order_id,customer_id,category,amount,month
0,1,157,Cloths,4697,January
1,2,12,Sports,1416,January
2,3,14,Cloths,5903,January
3,4,152,Home,5381,January
4,5,87,Sports,6633,January
5,6,157,Sports,6570,January
6,7,161,Cloths,6947,January
7,8,198,Elec,1399,January
8,9,140,Home,6981,January
9,10,164,Home,5389,January
10,11,98,Elec,2171,January
11,12,34,Elec,2380,January
12,13,6,Elec,2375,January
13,14,17,Sports,987,January
14,15,140,Cloths,4671,January
15,16,55,Home,3421,January
16,17,175,Cloths,6670,January
17,18,43,Elec,8060,January
18,19,190,Elec,3073,January
19,20,174,Elec,7404,January
20,21,55,Cloths,2644,January
21,22,192,Sports,6842,January
22,23,40,Sports,7650,January
23,24,23,Home,3205,January
24,25,72,Home,6774,January
25,26,40,Elec,1863,January
26,27,136,Home,2201,January
27,28,64,Elec,4240,January
28,29,21,Elec,1366,January
29,30,35,Elec,3010,January
30,31,172,Elec,9555,January
31,32,65,Home,2736,January
32,33,188,Cloths,5861,January
33,34,64,Cloths,847,January
34,35,66,Sports,6293,January
35,36,102,Home,9532,January
36,37,83,Home,8830,January
37,38,135,Elec,1925,January
38,39,154,Sports,444,January
39,40,144,Elec,1071,January
40,41,155,Cloths,4772,January
41,42,129,Elec,3663,January
42,43,91,Sports,5406,January
43,44,125,Cloths,1592,January
44,45,39,Sports,2240,January
45,46,31,Elec,2077,January
46,47,121,Home,3546,January
47,48,50,Cloths,3622,January
48,49,10,Home,2677,January
49,50,18,Elec,1150,January
50,51,106,Home,6695,January
51,52,75,Home,7648,January
52,53,119,Sports,6068,January
53,54,26,Elec,8515,January
54,55,11,Home,8331,January
55,56,142,Cloths,1389,January
56,57,194,Sports,5764,January
57,58,118,Elec,4622,January
58,59,175,Cloths,1267,January
59,60,188,Elec,5655,January
60,61,13,Home,1759,January
61,62,149,Sports,3016,January
62,63,171,Elec,6596,January
63,64,10,Elec,8290,January
64,65,17,Elec,2817,January
65,66,23,Home,4186,January
66,67,141,Sports,2168,January
67,68,29,Home,6037,January
68,69,196,Cloths,3312,January
69,70,56,Sports,8870,January
70,71,177,Cloths,1314,January
71,72,127,Cloths,318,January
72,73,31,Home,942,January
73,74,190,Home,3547,January
74,75,124,Home,7956,January
75,76,161,Cloths,241,January
76,77,102,Cloths,2237,January
77,78,78,Cloths,800,January
78,79,50,Sports,4221,January
79,80,60,Sports,1779,January
80,81,186,Elec,7714,January
81,82,56,Sports,9339,January
82,83,60,Cloths,475,January
83,84,188,Cloths,4109,January
84,85,183,Home,9853,January
85,86,174,Home,6462,January
86,87,136,Home,1137,January
87,88,85,Home,3713,January
88,89,8,Elec,6789,January
89,90,161,Elec,6253,January
90,91,18,Cloths,7788,January
91,92,141,Sports,9725,January
92,93,102,Cloths,4381,January
93,94,15,Cloths,5209,January
94,95,159,Sports,5687,January
95,96,142,Elec,5144,January
96,97,98,Elec,7785,January
97,98,106,Cloths,6519,January
98,99,37,Elec,6693,January
99,100,12,Sports,4843,January
100,101,79,Elec,5868,January
101,102,97,Home,3312,January
102,103,106,Elec,2141,January
103,104,111,Elec,3639,January
104,105,64,Home,6384,January
105,106,119,Home,841,January
106,107,100,Elec,2802,January
107,108,104,Cloths,7256,January
108,109,31,Sports,734,January
109,110,30,Sports,6664,January
110,111,151,Cloths,7557,January
111,112,149,Elec,9275,January
112,113,112,Elec,8524,January
113,114,103,Elec,1250,January
114,115,86,Cloths,2795,January
115,116,130,Elec,1689,January
116,117,113,Elec,8508,January
117,118,51,Sports,3424,January
118,119,145,Cloths,9162,January
119,120,147,Elec,7490,January
120,121,32,Sports,4028,January
121,122,141,Elec,6905,January
122,123,67,Cloths,1961,January
123,124,164,Home,5816,January
124,125,159,Home,529,January
125,126,133,Sports,4330,January
126,127,16,Sports,5718,January
127,128,8,Cloths,6295,January
128,129,49,Sports,1654,January
129,130,194,Cloths,7256,January
130,131,141,Sports,2218,January
131,132,161,Elec,5957,January
132,133,177,Sports,5478,January
133,134,148,Home,2287,January
134,135,52,Sports,6837,January
135,136,37,Cloths,3697,January
136,137,86,Cloths,9279,January
137,138,82,Home,2294,January
138,139,37,Elec,9358,January
139,140,98,Sports,6289,January
140,141,106,Cloths,9639,January
141,142,145,Cloths,4258,January
142,143,161,Elec,3945,January
143,144,19,Home,5817,January
144,145,154,Elec,4806,January
145,146,45,Cloths,1114,January
146,147,120,Home,6446,January
147,148,187,Home,5659,January
148,149,175,Cloths,275,January
149,150,62,Sports,8240,January
150,151,76,Cloths,2793,January
151,152,126,Cloths,9302,January
152,153,46,Elec,9421,January
153,154,173,Cloths,2108,January
154,155,13,Elec,2487,January
155,156,74,Home,9918,January
156,157,178,Sports,5498,January
157,158,171,Sports,4416,January
158,159,143,Sports,7607,January
159,160,183,Elec,6386,January
160,161,122,Home,9623,January
161,162,110,Sports,4282,January
162,163,135,Sports,8341,January
163,164,29,Home,7628,January
164,165,170,Cloths,2385,January
165,166,89,Cloths,3961,January
166,167,16,Sports,4830,January
167,168,150,Elec,3042,January
168,169,193,Elec,9404,January
169,170,121,Cloths,7301,January
170,171,57,Cloths,4170,January
171,172,99,Sports,4514,January
172,173,119,Sports,5107,January
173,174,71,Cloths,5105,January
174,175,14,Cloths,6532,January
175,176,21,Elec,7561,January
176,177,116,Sports,3367,January
177,178,81,Home,3635,January
178,179,11,Elec,8019,January
179,180,166,Elec,2605,January
180,181,107,Cloths,1163,January
181,182,33,Home,3666,January
182,183,141,Cloths,4646,January
183,184,170,Sports,4147,January
184,185,176,Cloths,6190,January
185,186,71,Sports,4395,January
186,187,39,Elec,7066,January
187,188,175,Sports,3462,January
188,189,131,Sports,2748,January
189,190,70,Cloths,8937,January
190,191,33,Sports,7732,January
191,192,65,Sports,6747,January
192,193,6,Cloths,7951,January
193,194,189,Sports,609,January
194,195,102,Elec,5415,January
195,196,71,Cloths,6067,January
196,197,90,Home,8408,January
197,198,119,Home,1954,January
198,199,169,Elec,3850,January
199,200,102,Home,1201,January
200,201,93,Cloths,5455,January
201,202,186,Sports,6905,January
202,203,35,Sports,1760,January
203,204,14,Cloths,1067,January
204,205,18,Home,6469,January
205,206,46,Sports,8039,January
206,207,68,Sports,5299,January
207,208,101,Cloths,8447,January
208,209,162,Home,745,January
209,210,183,Sports,6257,January
210,211,41,Home,9378,January
211,212,187,Elec,7317,January
212,213,104,Sports,2525,January
213,214,144,Home,2510,January
214,215,50,Elec,7992,January
215,216,158,Home,1117,January
216,217,167,Cloths,3082,January
217,218,55,Cloths,4322,January
218,219,145,Sports,5534,January
219,220,75,Cloths,7128,January
220,221,64,Sports,6059,January
221,222,76,Sports,9435,January
222,223,171,Elec,9941,January
223,224,119,Elec,1904,January
224,225,108,Elec,1183,January
225,226,64,Elec,6988,January
226,227,122,Cloths,6551,January
227,228,75,Cloths,6282,January
228,229,88,Home,4874,January
229,230,152,Sports,1759,January
230,231,124,Home,9506,January
231,232,142,Elec,7744,January
232,233,117,Elec,9593,January
233,234,89,Sports,1016,January
234,235,54,Home,7575,January
235,236,112,Sports,8556,January
236,237,13,Elec,708,January
237,238,38,Elec,4460,January
238,239,93,Elec,3387,January
239,240,75,Elec,1028,January
240,241,175,Elec,5821,January
241,242,6,Elec,4953,January
242,243,109,Cloths,794,January
243,244,119,Cloths,5507,January
244,245,131,Elec,7969,January
245,246,117,Sports,8085,January
246,247,99,Cloths,2194,January
247,248,72,Sports,7037,January
248,249,98,Home,621,January
249,250,33,Home,3105,January
250,251,132,Elec,3646,January
251,252,196,Cloths,3958,January
252,253,143,Elec,5483,January
253,254,141,Cloths,2365,January
254,255,157,Sports,8015,January
255,256,133,Sports,9853,January
256,257,82,Elec,7644,January
257,258,74,Cloths,9351,January
258,259,91,Elec,2454,January
259,260,57,Cloths,8829,January
260,261,197,Home,4558,January
261,262,89,Cloths,1698,January
262,263,170,Home,8674,January
263,264,139,Sports,873,January
264,265,16,Elec,4644,January
265,266,153,Home,1988,January
266,267,13,Home,8665,January
267,268,22,Elec,9356,January
268,269,65,Home,6160,January
269,270,117,Cloths,4032,January
270,271,136,Home,8502,January
271,272,156,Sports,6981,January
272,273,141,Elec,2597,January
273,274,73,Sports,1157,January
274,275,168,Sports,1416,January
275,276,54,Sports,5411,January
276,277,84,Home,2496,January
277,278,183,Home,5232,January
278,279,143,Elec,2285,January
279,280,41,Home,1893,January
280,281,14,Sports,4684,January
281,282,178,Sports,1023,January
282,283,64,Elec,5316,January
283,284,29,Home,3573,January
284,285,168,Home,4033,January
285,286,25,Elec,1090,January
286,287,107,Cloths,3980,January
287,288,30,Cloths,6149,January
288,289,9,Elec,613,January
289,290,164,Elec,5694,January
290,291,62,Sports,644,January
291,292,141,Cloths,4251,January
292,293,149,Sports,1871,January
293,294,178,Cloths,7482,January
294,295,60,Elec,500,January
295,296,172,Sports,3590,January
296,297,178,Home,1292,January
297,298,100,Elec,9411,January
298,299,94,Cloths,254,January
299,300,105,Home,4382,January
300,301,27,Elec,4553,January
301,302,32,Elec,5893,January
302,303,122,Home,4799,January
303,304,154,Sports,8692,January
304,305,149,Cloths,4845,January
305,306,17,Elec,8807,January
306,307,123,Cloths,6458,January
307,308,140,Elec,8695,January
308,309,15,Sports,800,January
309,310,141,Elec,9334,January
310,311,49,Home,899,January
311,312,80,Cloths,6712,January
312,313,68,Elec,681,January
